21:48:14.805 [ApplicationImpl pooled thread 256] INFO  c.b.l.BrowserStackRunExtension - testng
21:48:14.805 [ApplicationImpl pooled thread 256] INFO  com.browserstack.utils.Helpers - null
21:48:14.805 [ApplicationImpl pooled thread 256] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:58:48.161 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - testng
07:58:48.162 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - null
07:58:48.164 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
08:15:39.566 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
08:15:39.575 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
08:16:05.280 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
08:16:05.291 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
